Loan_ID,,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount
LP001482,,Male,Yes,0,Graduate,Yes,3459,0,120,1,Semiurban,Y,25
LP001487,,Male,No,0,Graduate,No,4895,0,360,1,Semiurban,Y,102
LP001491,,Male,Yes,2,Graduate,Yes,3316,3500,360,1,Urban,Y,88
LP001498,,Male,No,0,Graduate,No,5417,0,360,1,Urban,Y,168
LP001504,,Male,No,0,Graduate,Yes,6950,0,180,1,Semiurban,Y,175
LP001507,,Male,Yes,0,Graduate,No,2698,2034,360,1,Semiurban,Y,122
LP001508,,Male,Yes,2,Graduate,No,11757,0,180,1,Urban,Y,187
LP001514,,Female,Yes,0,Graduate,No,2330,4486,360,1,Semiurban,Y,100
LP001516,,Female,Yes,2,Graduate,No,14866,0,360,1,Urban,Y,70
LP001518,,Male,Yes,1,Graduate,No,1538,1425,360,1,Urban,Y,30
LP001520,,Male,Yes,0,Graduate,No,4860,830,360,1,Semiurban,Y,125
LP001529,,Male,Yes,0,Graduate,Yes,2577,3750,360,1,Rural,Y,152
LP001535,,Male,No,0,Graduate,No,3254,0,360,1,Urban,Y,50
LP001536,,Male,Yes,3+,Graduate,No,39999,0,180,0,Semiurban,Y,600
LP001541,,Male,Yes,1,Graduate,No,6000,0,360,,Rural,Y,160
LP001543,,Male,Yes,1,Graduate,No,9538,0,360,1,Urban,Y,187
LP001546,,Male,No,0,Graduate,,2980,2083,360,1,Rural,Y,120
LP001552,,Male,Yes,0,Graduate,No,4583,5625,360,1,Semiurban,Y,255
LP001560,,Male,Yes,0,Not Graduate,No,1863,1041,360,1,Semiurban,Y,98
LP001570,,Male,Yes,2,Graduate,No,4167,1447,360,1,Rural,Y,158
LP001572,,Male,Yes,0,Graduate,No,9323,0,180,1,Urban,Y,75
LP001574,,Male,Yes,0,Graduate,No,3707,3166,,1,Rural,Y,182
LP001578,,Male,Yes,0,Graduate,No,2439,3333,360,1,Rural,Y,129
LP001580,,Male,Yes,2,Graduate,No,8000,0,360,1,Semiurban,Y,200
LP001581,,Male,Yes,0,Not Graduate,,1820,1769,360,1,Rural,Y,95
LP001585,,,Yes,3+,Graduate,No,51763,0,300,1,Urban,Y,700
LP001594,,Male,Yes,0,Graduate,No,5708,5625,360,1,Semiurban,Y,187
LP001606,,Male,Yes,0,Graduate,No,3497,1964,360,1,Rural,Y,116
LP001608,,Male,Yes,2,Graduate,No,2045,1619,360,1,Rural,Y,101
LP001616,,Male,Yes,1,Graduate,No,3750,0,360,1,Semiurban,Y,116
LP001636,,Male,Yes,0,Graduate,No,4600,0,180,1,Semiurban,Y,73
LP001639,,Female,Yes,0,Graduate,No,3625,0,360,1,Semiurban,Y,108
LP001640,,Male,Yes,0,Graduate,Yes,39147,4750,360,1,Semiurban,Y,120
LP001643,,Male,Yes,0,Graduate,No,2383,2138,360,,Rural,Y,58
LP001644,,,Yes,0,Graduate,Yes,674,5296,360,1,Rural,Y,168
LP001647,,Male,Yes,0,Graduate,No,9328,0,180,1,Rural,Y,188
LP001653,,Male,No,0,Not Graduate,No,4885,0,360,1,Rural,Y,48
LP001658,,Male,No,0,Graduate,No,3858,0,360,1,Semiurban,Y,76
LP001664,,Male,No,0,Graduate,No,4191,0,360,1,Rural,Y,120
LP001666,,Male,No,0,Graduate,No,8333,3750,360,1,Rural,Y,187
LP001669,,Female,No,0,Not Graduate,No,1907,2365,,1,Urban,Y,120
LP001671,,Female,Yes,0,Graduate,No,3416,2816,360,,Semiurban,Y,113
LP001674,,Male,Yes,1,Not Graduate,No,2600,2500,360,1,Semiurban,Y,90
LP001677,,Male,No,2,Graduate,No,4923,0,360,0,Semiurban,Y,166
LP001688,,Male,Yes,1,Not Graduate,No,3500,1083,360,1,Urban,Y,135
LP001691,,Male,Yes,2,Not Graduate,No,3917,0,360,1,Semiurban,Y,124
LP001692,,Female,No,0,Not Graduate,No,4408,0,360,1,Semiurban,Y,120
LP001693,,Female,No,0,Graduate,No,3244,0,360,1,Urban,Y,80
LP001698,,Male,No,0,Not Graduate,No,3975,2531,360,1,Rural,Y,55
LP001699,,Male,No,0,Graduate,No,2479,0,360,1,Urban,Y,59
LP001713,,Male,Yes,1,Graduate,Yes,7787,0,360,1,Urban,Y,240
LP001715,,Male,Yes,3+,Not Graduate,Yes,5703,0,360,1,Rural,Y,130
LP001716,,Male,Yes,0,Graduate,No,3173,3021,360,1,Urban,Y,137
LP001720,,Male,Yes,3+,Not Graduate,No,3850,983,360,1,Semiurban,Y,100
LP001726,,Male,Yes,0,Graduate,No,3727,1775,360,1,Semiurban,Y,131
LP001734,,Female,Yes,2,Graduate,No,4283,2383,360,,Semiurban,Y,127
LP001743,,Male,Yes,2,Graduate,No,4009,1717,360,1,Semiurban,Y,116
LP001744,,Male,No,0,Graduate,No,2971,2791,360,1,Semiurban,Y,144
LP001749,,Male,Yes,0,Graduate,No,7578,1010,,1,Semiurban,Y,175
LP001750,,Male,Yes,0,Graduate,No,6250,0,360,1,Semiurban,Y,128
LP001758,,Male,Yes,2,Graduate,No,6250,1695,360,1,Semiurban,Y,210
LP001760,,Male,,,Graduate,No,4758,0,480,1,Semiurban,Y,158
LP001761,,Male,No,0,Graduate,Yes,6400,0,360,1,Rural,Y,200
LP001765,,Male,Yes,1,Graduate,No,2491,2054,360,1,Semiurban,Y,104
LP001768,,Male,Yes,0,Graduate,,3716,0,180,1,Rural,Y,42
LP001770,,Male,No,0,Not Graduate,No,3189,2598,,1,Rural,Y,120
LP001776,,Female,No,0,Graduate,No,8333,0,360,1,Semiurban,Y,280
LP001778,,Male,Yes,1,Graduate,No,3155,1779,360,1,Semiurban,Y,140
LP001784,,Male,Yes,1,Graduate,No,5500,1260,360,1,Rural,Y,170
LP001788,,Female,No,0,Graduate,Yes,3463,0,360,,Urban,Y,122
LP001790,,Female,No,1,Graduate,No,3812,0,360,1,Rural,Y,112
LP001792,,Male,Yes,1,Graduate,No,3315,0,360,1,Semiurban,Y,96
LP001798,,Male,Yes,2,Graduate,No,5819,5000,360,1,Rural,Y,120
LP001806,,Male,No,0,Graduate,No,2965,5701,60,1,Urban,Y,155
LP001807,,Male,Yes,2,Graduate,Yes,6250,1300,360,1,Rural,Y,108
LP001811,,Male,Yes,0,Not Graduate,No,3406,4417,360,1,Semiurban,Y,123
LP001814,,Male,Yes,2,Graduate,No,9703,0,360,1,Urban,Y,112
LP001819,,Male,Yes,1,Not Graduate,No,6608,0,180,1,Urban,Y,137
LP001824,,Male,Yes,1,Graduate,No,2882,1843,480,1,Semiurban,Y,123
LP001825,,Male,Yes,0,Graduate,No,1809,1868,360,1,Urban,Y,90
LP001841,,Male,No,0,Not Graduate,Yes,2583,2167,360,1,Rural,Y,104
LP001843,,Male,Yes,1,Not Graduate,No,2661,7101,180,1,Semiurban,Y,279
LP001846,,Female,No,3+,Graduate,No,3083,0,360,1,Rural,Y,255
LP001865,,Male,Yes,1,Graduate,No,6083,4250,360,,Urban,Y,330
LP001868,,Male,No,0,Graduate,No,2060,2209,360,1,Semiurban,Y,134
LP001871,,Female,No,0,Graduate,No,7200,0,360,1,Rural,Y,120
LP001872,,Male,No,0,Graduate,Yes,5166,0,360,1,Semiurban,Y,128
LP001875,,Male,No,0,Graduate,No,4095,3447,360,1,Rural,Y,151
LP001877,,Male,Yes,2,Graduate,No,4708,1387,360,1,Semiurban,Y,150
LP001882,,Male,Yes,3+,Graduate,No,4333,1811,360,0,Urban,Y,160
LP001884,,Female,No,1,Graduate,No,2876,1560,360,1,Urban,Y,90
LP001888,,Female,No,0,Graduate,No,3237,0,360,1,Urban,Y,30
LP001891,,Male,Yes,0,Graduate,No,11146,0,360,1,Urban,Y,136
LP001892,,Male,No,0,Graduate,No,2833,1857,360,1,Rural,Y,126
LP001894,,Male,Yes,0,Graduate,No,2620,2223,360,1,Semiurban,Y,150
LP001896,,Male,Yes,2,Graduate,No,3900,0,360,1,Semiurban,Y,90
LP001900,,Male,Yes,1,Graduate,No,2750,1842,360,1,Semiurban,Y,115
LP001903,,Male,Yes,0,Graduate,No,3993,3274,360,1,Semiurban,Y,207
LP001904,,Male,Yes,0,Graduate,No,3103,1300,360,1,Urban,Y,80
LP001907,,Male,Yes,0,Graduate,No,14583,0,360,1,Semiurban,Y,436
LP001908,,Female,Yes,0,Not Graduate,No,4100,0,360,,Rural,Y,124
LP001914,,Male,Yes,0,Graduate,No,3927,800,360,1,Semiurban,Y,112
LP001915,,Male,Yes,2,Graduate,No,2301,985.7999878,180,1,Urban,Y,78
LP001917,,Female,No,0,Graduate,No,1811,1666,360,1,Urban,Y,54
LP001924,,Male,No,0,Graduate,No,3158,3053,360,1,Rural,Y,89
LP001926,,Male,Yes,0,Graduate,No,3704,2000,360,1,Rural,Y,120
LP001931,,Female,No,0,Graduate,No,4124,0,360,1,Semiurban,Y,115
LP001935,,Male,No,0,Graduate,No,9508,0,360,1,Rural,Y,187
LP001936,,Male,Yes,0,Graduate,No,3075,2416,360,1,Rural,Y,139
LP001940,,Male,Yes,2,Graduate,No,3153,1560,360,1,Urban,Y,134
LP001947,,Male,Yes,0,Graduate,No,2383,3334,360,1,Semiurban,Y,172
LP001949,,Male,Yes,3+,Graduate,,4416,1250,360,1,Urban,Y,110
LP001953,,Male,Yes,1,Graduate,No,6875,0,360,1,Semiurban,Y,200
LP001954,,Female,Yes,1,Graduate,No,4666,0,360,1,Urban,Y,135
LP001972,,Male,Yes,,Not Graduate,No,2875,1750,360,1,Semiurban,Y,105
LP001974,,Female,No,0,Graduate,No,5000,0,360,1,Rural,Y,132
LP001977,,Male,Yes,1,Graduate,No,1625,1803,360,1,Urban,Y,96
LP001978,,Male,No,0,Graduate,No,4000,2500,360,1,Rural,Y,140
LP001993,,Female,No,0,Graduate,No,3762,1666,360,1,Rural,Y,135
LP001998,,Male,Yes,2,Not Graduate,No,7667,0,360,,Rural,Y,185
LP002002,,Female,No,0,Graduate,No,2917,0,360,1,Semiurban,Y,84
LP002004,,Male,No,0,Not Graduate,No,2927,2405,360,1,Semiurban,Y,111
LP002006,,Female,No,0,Graduate,No,2507,0,360,1,Rural,Y,56
LP002008,,Male,Yes,2,Graduate,Yes,5746,0,84,,Rural,Y,144
LP002031,,Male,Yes,1,Not Graduate,No,3399,1640,180,1,Urban,Y,111
LP002035,,Male,Yes,2,Graduate,No,3717,0,360,1,Semiurban,Y,120
LP002036,,Male,Yes,0,Graduate,No,2058,2134,360,,Urban,Y,88
LP002043,,Female,No,1,Graduate,No,3541,0,360,,Semiurban,Y,112
LP002051,,Male,Yes,0,Graduate,No,2400,2167,360,1,Semiurban,Y,115
LP002053,,Male,Yes,3+,Graduate,No,4342,189,360,1,Semiurban,Y,124
LP002054,,Male,Yes,2,Not Graduate,No,3601,1590,360,1,Rural,Y,
LP002055,,Female,No,0,Graduate,No,3166,2985,360,,Rural,Y,132
LP002065,,Male,Yes,3+,Graduate,No,15000,0,360,1,Rural,Y,300
LP002068,,Male,No,0,Graduate,No,4917,0,360,0,Rural,Y,130
LP002082,,Male,Yes,0,Graduate,Yes,5818,2160,360,1,Semiurban,Y,184
LP002087,,Female,No,0,Graduate,No,2500,0,360,1,Urban,Y,67
LP002097,,Male,No,1,Graduate,No,4384,1793,360,1,Urban,Y,117
LP002098,,Male,No,0,Graduate,No,2935,0,360,1,Semiurban,Y,98
LP002100,,Male,No,,Graduate,No,2833,0,360,1,Urban,Y,71
LP002101,,Male,Yes,0,Graduate,,63337,0,180,1,Urban,Y,490
LP002103,,,Yes,1,Graduate,Yes,9833,1833,180,1,Urban,Y,182
LP002106,,Male,Yes,,Graduate,Yes,5503,4490,,1,Semiurban,Y,70
LP002110,,Male,Yes,1,Graduate,,5250,688,360,1,Rural,Y,160
LP002112,,Male,Yes,2,Graduate,Yes,2500,4600,360,1,Rural,Y,176
LP002114,,Female,No,0,Graduate,No,4160,0,360,1,Semiurban,Y,71
LP002119,,Male,Yes,1,Not Graduate,No,4554,1229,360,1,Urban,Y,158
LP002126,,Male,Yes,3+,Not Graduate,No,3173,0,360,1,Semiurban,Y,74
LP002128,,Male,Yes,2,Graduate,,2583,2330,360,1,Rural,Y,125
LP002129,,Male,Yes,0,Graduate,No,2499,2458,360,1,Semiurban,Y,160
LP002131,,Male,Yes,2,Not Graduate,No,3083,2168,360,1,Urban,Y,126
LP002137,,Male,Yes,0,Graduate,No,6333,4583,360,,Semiurban,Y,259
LP002138,,Male,Yes,0,Graduate,No,2625,6250,360,1,Rural,Y,187
LP002139,,Male,Yes,0,Graduate,No,9083,0,360,1,Semiurban,Y,228
LP002141,,Male,Yes,3+,Graduate,No,2666,2083,360,1,Rural,Y,95
LP002143,,Female,Yes,0,Graduate,No,2423,505,360,1,Semiurban,Y,130
LP002144,,Female,No,,Graduate,No,3813,0,180,1,Urban,Y,116
LP002149,,Male,Yes,2,Graduate,No,8333,3167,360,1,Rural,Y,165
LP002160,,Male,Yes,3+,Graduate,No,5167,3167,360,1,Semiurban,Y,200
LP002170,,Male,Yes,2,Graduate,No,5000,3667,360,1,Semiurban,Y,236
LP002175,,Male,Yes,0,Graduate,No,4750,2333,360,1,Urban,Y,130
LP002178,,Male,Yes,0,Graduate,No,3013,3033,300,,Urban,Y,95
LP002180,,Male,No,0,Graduate,Yes,6822,0,360,1,Rural,Y,141
LP002190,,Male,Yes,1,Graduate,No,6325,0,360,1,Semiurban,Y,175
LP002194,,Female,No,0,Graduate,Yes,15759,0,360,1,Semiurban,Y,55
LP002197,,Male,Yes,2,Graduate,No,5185,0,360,1,Semiurban,Y,155
LP002201,,Male,Yes,2,Graduate,Yes,9323,7873,300,1,Rural,Y,380
LP002209,,Female,No,0,Graduate,,2764,1459,360,1,Urban,Y,110
LP002211,,Male,Yes,0,Graduate,No,4817,923,180,1,Urban,Y,120
LP002219,,Male,Yes,3+,Graduate,No,8750,4996,360,1,Rural,Y,130
LP002223,,Male,Yes,0,Graduate,No,4310,0,360,,Semiurban,Y,130
LP002225,,Male,Yes,2,Graduate,No,5391,0,360,1,Urban,Y,130
LP002226,,Male,Yes,0,Graduate,,3333,2500,360,1,Semiurban,Y,128
LP002229,,Male,No,0,Graduate,No,5941,4232,360,1,Semiurban,Y,296
LP002231,,Female,No,0,Graduate,No,6000,0,360,1,Urban,Y,156
LP002234,,Male,No,0,Graduate,Yes,7167,0,360,1,Urban,Y,128
LP002237,,Male,No,1,Graduate,,3667,0,180,1,Urban,Y,113
LP002239,,Male,No,0,Not Graduate,No,2346,1600,360,1,Semiurban,Y,132
LP002244,,Male,Yes,0,Graduate,No,2333,2417,360,1,Urban,Y,136
LP002250,,Male,Yes,0,Graduate,No,5488,0,360,1,Rural,Y,125
LP002255,,Male,No,3+,Graduate,No,9167,0,360,1,Rural,Y,185
LP002262,,Male,Yes,3+,Graduate,No,9504,0,360,1,Rural,Y,275
LP002263,,Male,Yes,0,Graduate,No,2583,2115,360,,Urban,Y,120
LP002265,,Male,Yes,2,Not Graduate,No,1993,1625,180,1,Semiurban,Y,113
LP002266,,Male,Yes,2,Graduate,No,3100,1400,360,1,Urban,Y,113
LP002272,,Male,Yes,2,Graduate,No,3276,484,360,,Semiurban,Y,135
LP002281,,Male,Yes,0,Graduate,No,3033,1459,360,1,Urban,Y,95
LP002284,,Male,No,0,Not Graduate,No,3902,1666,360,1,Rural,Y,109
LP002297,,Male,No,0,Graduate,No,2500,20000,360,1,Semiurban,Y,103
LP002300,,Female,No,0,Not Graduate,No,1963,0,360,1,Semiurban,Y,53
LP002305,,Female,No,0,Graduate,No,4547,0,360,1,Semiurban,Y,115
LP002308,,Male,Yes,0,Not Graduate,No,2167,2400,360,1,Urban,Y,115
LP002314,,Female,No,0,Not Graduate,No,2213,0,360,1,Rural,Y,66
LP002319,,Male,Yes,0,Graduate,,6256,0,360,,Urban,Y,160
LP002332,,Male,Yes,0,Not Graduate,No,2253,2033,360,1,Rural,Y,110
LP002337,,Female,No,0,Graduate,No,2995,0,360,1,Urban,Y,60
LP002345,,Male,Yes,0,Graduate,No,1025,2773,360,1,Rural,Y,112
LP002347,,Male,Yes,0,Graduate,No,3246,1417,360,1,Semiurban,Y,138
LP002348,,Male,Yes,0,Graduate,No,5829,0,360,1,Rural,Y,138
LP002361,,Male,Yes,0,Graduate,No,1820,1719,360,1,Urban,Y,100
LP002364,,Male,Yes,0,Graduate,No,14880,0,360,1,Semiurban,Y,96
LP002366,,Male,Yes,0,Graduate,No,2666,4300,360,1,Rural,Y,121
LP002368,,Male,Yes,2,Graduate,No,5935,0,360,1,Semiurban,Y,133
LP002369,,Male,Yes,0,Graduate,No,2920,16.12000084,360,1,Rural,Y,87
LP002370,,Male,No,0,Not Graduate,No,2717,0,180,1,Urban,Y,60
LP002377,,Female,No,1,Graduate,Yes,8624,0,360,1,Semiurban,Y,150
LP002386,,Male,No,0,Graduate,,12876,0,360,1,Semiurban,Y,405
LP002387,,Male,Yes,0,Graduate,No,2425,2340,360,1,Semiurban,Y,143
LP002390,,Male,No,0,Graduate,No,3750,0,360,1,Urban,Y,100
LP002393,,Female,,,Graduate,No,10047,0,240,1,Semiurban,Y,
LP002398,,Male,No,0,Graduate,No,1926,1851,360,1,Semiurban,Y,50
LP002401,,Male,Yes,0,Graduate,No,2213,1125,360,1,Urban,Y,
LP002407,,Female,Yes,0,Not Graduate,Yes,7142,0,360,1,Rural,Y,138
LP002408,,Male,No,0,Graduate,No,3660,5064,360,1,Semiurban,Y,187
LP002409,,Male,Yes,0,Graduate,No,7901,1833,360,1,Rural,Y,180
LP002418,,Male,No,3+,Not Graduate,No,4707,1993,360,1,Semiurban,Y,148
LP002422,,Male,No,1,Graduate,No,37719,0,360,1,Semiurban,Y,152
LP002424,,Male,Yes,0,Graduate,No,7333,8333,300,,Rural,Y,175
LP002429,,Male,Yes,1,Graduate,Yes,3466,1210,360,1,Rural,Y,130
LP002434,,Male,Yes,2,Not Graduate,No,4652,0,360,1,Rural,Y,110
LP002447,,Male,Yes,2,Not Graduate,No,1958,1456,300,,Urban,Y,60
LP002449,,Male,Yes,0,Graduate,No,2483,2466,180,0,Rural,Y,90
LP002453,,Male,No,0,Graduate,Yes,7085,0,360,1,Semiurban,Y,84
LP002455,,Male,Yes,2,Graduate,No,3859,0,360,1,Semiurban,Y,96
LP002459,,Male,Yes,0,Graduate,No,4301,0,360,1,Urban,Y,118
LP002472,,Male,No,2,Graduate,No,4354,0,360,1,Rural,Y,136
LP002478,,,Yes,0,Graduate,Yes,2083,4083,360,,Semiurban,Y,160
LP002484,,Male,Yes,3+,Graduate,No,7740,0,180,1,Urban,Y,128
LP002487,,Male,Yes,0,Graduate,No,3015,2188,360,1,Rural,Y,153
LP002489,,Female,No,1,Not Graduate,,5191,0,360,1,Semiurban,Y,132
LP002494,,Male,No,0,Graduate,No,6000,0,360,1,Rural,Y,140
LP002501,,,Yes,0,Graduate,No,16692,0,360,1,Semiurban,Y,110
LP002502,,Female,Yes,2,Not Graduate,,210,2917,360,1,Semiurban,Y,98
LP002515,,Male,Yes,1,Graduate,Yes,3450,2079,360,1,Semiurban,Y,162
LP002519,,Male,Yes,3+,Graduate,No,4691,0,360,1,Semiurban,Y,100
LP002522,,Female,No,0,Graduate,Yes,2500,0,360,,Urban,Y,93
LP002524,,Male,No,2,Graduate,No,5532,4648,360,1,Rural,Y,162
LP002527,,Male,Yes,2,Graduate,Yes,16525,1014,360,1,Rural,Y,150
LP002529,,Male,Yes,2,Graduate,No,6700,1750,300,1,Semiurban,Y,230
LP002531,,Male,Yes,1,Graduate,Yes,16667,2250,360,1,Semiurban,Y,86
LP002534,,Female,No,0,Not Graduate,No,4350,0,360,1,Rural,Y,154
LP002536,,Male,Yes,3+,Not Graduate,No,3095,0,360,1,Rural,Y,113
LP002537,,Male,Yes,0,Graduate,No,2083,3150,360,1,Semiurban,Y,128
LP002541,,Male,Yes,0,Graduate,No,10833,0,360,1,Semiurban,Y,234
LP002543,,Male,Yes,2,Graduate,No,8333,0,360,1,Semiurban,Y,246
LP002544,,Male,Yes,1,Not Graduate,No,1958,2436,360,1,Rural,Y,131
