ApplicantIncome,CoapplicantIncome,Credit_History,Female,Male,Gender_nan,Notmarried,Married,0Dependent,1Dependent,2Dependent,3+Dependent,Graduate,Not grad,Notselfemp,Selfempl,Rural,Semiurban,Urban,LoanAmount
11757,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,187
2330,4486,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,100
14866,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,70
1538,1425,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,30
4860,830,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,125
2577,3750,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,152
3254,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,50
39999,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,600
6000,0,,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,160
9538,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,187
2980,2083,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,120
4583,5625,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,255
1863,1041,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,98
4167,1447,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,158
9323,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,75
3707,3166,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,182
2439,3333,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,129
8000,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,200
1820,1769,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,95
51763,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,700
5708,5625,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,187
3497,1964,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,116
2045,1619,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,101
3750,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,116
4600,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,73
3625,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,108
39147,4750,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,120
2383,2138,,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,58
674,5296,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,168
9328,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,188
4885,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,48
3858,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,76
4191,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,120
8333,3750,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,187
1907,2365,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,120
3416,2816,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,113
2600,2500,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,90
4923,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,166
3500,1083,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,135
3917,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,124
4408,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,120
3244,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,80
3975,2531,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,55
2479,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,59
7787,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,240
5703,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,130
3173,3021,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,137
3850,983,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,100
3727,1775,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,131
4283,2383,,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,127
4009,1717,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,116
2971,2791,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,144
7578,1010,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,175
6250,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,128
6250,1695,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,210
4758,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,158
6400,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,200
2491,2054,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,104
3716,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,42
3189,2598,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,120
8333,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,280
3155,1779,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,140
5500,1260,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,170
3463,0,,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,122
3812,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,112
3315,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,96
5819,5000,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,120
2965,5701,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,155
6250,1300,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,108
3406,4417,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,123
9703,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,112
6608,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,137
2882,1843,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,123
1809,1868,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,90
2583,2167,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,104
2661,7101,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,279
3083,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,255
6083,4250,,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,330
2060,2209,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,134
7200,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,120
5166,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,128
4095,3447,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,151
4708,1387,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,150
4333,1811,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,160
2876,1560,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,90
3237,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,30
11146,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,136
2833,1857,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,126
2620,2223,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,150
3900,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,90
2750,1842,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,115
3993,3274,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,207
3103,1300,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,80
14583,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,436
4100,0,,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,124
3927,800,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,112
2301,985.7999878,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,78
1811,1666,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,54
3158,3053,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,89
3704,2000,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,120
4124,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,115
9508,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,187
3075,2416,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,139
3153,1560,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,134
2383,3334,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,172
4416,1250,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,110
6875,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,200
4666,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,135
2875,1750,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,105
5000,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,132
1625,1803,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,96
4000,2500,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,140
3762,1666,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,135
7667,0,,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,185
2917,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,84
2927,2405,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,111
2507,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,56
5746,0,,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,144
3399,1640,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,111
3717,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,120
2058,2134,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,88
3541,0,,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,112
2400,2167,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,115
4342,189,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,124
3601,1590,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,
3166,2985,,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,132
15000,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,300
4917,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,130
5818,2160,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,184
2500,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,67
4384,1793,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,117
2935,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,98
2833,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,71
63337,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,490
9833,1833,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,182
5503,4490,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,70
5250,688,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,160
2500,4600,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,176
4160,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,71
4554,1229,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,158
3173,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,74
2583,2330,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,125
2499,2458,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,160
3083,2168,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,126
6333,4583,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,259
2625,6250,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,187
9083,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,228
2666,2083,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,95
2423,505,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,130
3813,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,116
8333,3167,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,165
5167,3167,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,200
5000,3667,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,236
4750,2333,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,130
3013,3033,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,95
6822,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,141
6325,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,175
15759,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,55
5185,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,155
9323,7873,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,380
2764,1459,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,110
4817,923,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,120
8750,4996,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,130
4310,0,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,130
5391,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,130
3333,2500,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,128
5941,4232,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,296
6000,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,156
7167,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,128
3667,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,113
2346,1600,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,132
2333,2417,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,136
5488,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,125
9167,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,185
9504,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,275
2583,2115,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,120
1993,1625,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,113
3100,1400,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,113
3276,484,,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,135
3033,1459,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,95
3902,1666,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,109
2500,20000,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,103
1963,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,53
4547,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,115
2167,2400,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,115
2213,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,66
6256,0,,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,160
2253,2033,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,110
2995,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,60
1025,2773,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,112
3246,1417,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,138
5829,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,138
1820,1719,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,100
14880,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,96
2666,4300,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,121
5935,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,133
2920,16.12000084,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,87
2717,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,60
8624,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,150
12876,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,405
2425,2340,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,143
3750,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,100
10047,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
1926,1851,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,50
2213,1125,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,
7142,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,138
3660,5064,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,187
7901,1833,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,180
4707,1993,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,148
37719,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,152
7333,8333,,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,175
3466,1210,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,130
4652,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,110
1958,1456,,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,60
2483,2466,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,90
7085,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,84
3859,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,96
4301,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,118
4354,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,136
2083,4083,,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,160
7740,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,128
3015,2188,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,153
5191,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,132
6000,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,140
16692,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,110
210,2917,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,98
3450,2079,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,162
4691,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,100
2500,0,,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,93
5532,4648,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,162
16525,1014,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,150
6700,1750,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,230
16667,2250,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,86
4350,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,154
3095,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,113
