,Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
183,LP001637,33846,0.0,260.0,360.0,1.0
184,LP001639,3625,0.0,108.0,360.0,1.0
185,LP001640,39147,4750.0,120.0,360.0,1.0
186,LP001641,2178,0.0,66.0,300.0,0.0
189,LP001647,9328,0.0,188.0,180.0,1.0
190,LP001653,4885,0.0,48.0,360.0,1.0
191,LP001656,12000,0.0,164.0,360.0,1.0
192,LP001657,6033,0.0,160.0,360.0,1.0
193,LP001658,3858,0.0,76.0,360.0,1.0
194,LP001664,4191,0.0,120.0,360.0,1.0
195,LP001665,3125,2583.0,170.0,360.0,1.0
196,LP001666,8333,3750.0,187.0,360.0,1.0
199,LP001673,11000,0.0,83.0,360.0,1.0
200,LP001674,2600,2500.0,90.0,360.0,1.0
201,LP001677,4923,0.0,166.0,360.0,0.0
203,LP001688,3500,1083.0,135.0,360.0,1.0
204,LP001691,3917,0.0,124.0,360.0,1.0
205,LP001692,4408,0.0,120.0,360.0,1.0
206,LP001693,3244,0.0,80.0,360.0,1.0
207,LP001698,3975,2531.0,55.0,360.0,1.0
208,LP001699,2479,0.0,59.0,360.0,1.0
209,LP001702,3418,0.0,127.0,360.0,1.0
210,LP001708,10000,0.0,214.0,360.0,1.0
211,LP001711,3430,1250.0,128.0,360.0,0.0
212,LP001713,7787,0.0,240.0,360.0,1.0
213,LP001715,5703,0.0,130.0,360.0,1.0
214,LP001716,3173,3021.0,137.0,360.0,1.0
215,LP001720,3850,983.0,100.0,360.0,1.0
216,LP001722,150,1800.0,135.0,360.0,1.0
217,LP001726,3727,1775.0,131.0,360.0,1.0
220,LP001736,2221,0.0,60.0,360.0,0.0
221,LP001743,4009,1717.0,116.0,360.0,1.0
222,LP001744,2971,2791.0,144.0,360.0,1.0
224,LP001750,6250,0.0,128.0,360.0,1.0
225,LP001751,3250,0.0,170.0,360.0,1.0
227,LP001758,6250,1695.0,210.0,360.0,1.0
229,LP001761,6400,0.0,200.0,360.0,1.0
230,LP001765,2491,2054.0,104.0,360.0,1.0
233,LP001776,8333,0.0,280.0,360.0,1.0
234,LP001778,3155,1779.0,140.0,360.0,1.0
235,LP001784,5500,1260.0,170.0,360.0,1.0
238,LP001790,3812,0.0,112.0,360.0,1.0
239,LP001792,3315,0.0,96.0,360.0,1.0
240,LP001798,5819,5000.0,120.0,360.0,1.0
241,LP001800,2510,1983.0,140.0,180.0,1.0
242,LP001806,2965,5701.0,155.0,60.0,1.0
243,LP001807,6250,1300.0,108.0,360.0,1.0
244,LP001811,3406,4417.0,123.0,360.0,1.0
245,LP001813,6050,4333.0,120.0,180.0,1.0
246,LP001814,9703,0.0,112.0,360.0,1.0
247,LP001819,6608,0.0,137.0,180.0,1.0
248,LP001824,2882,1843.0,123.0,480.0,1.0
249,LP001825,1809,1868.0,90.0,360.0,1.0
250,LP001835,1668,3890.0,201.0,360.0,0.0
251,LP001836,3427,0.0,138.0,360.0,1.0
252,LP001841,2583,2167.0,104.0,360.0,1.0
253,LP001843,2661,7101.0,279.0,180.0,1.0
254,LP001844,16250,0.0,192.0,360.0,0.0
255,LP001846,3083,0.0,255.0,360.0,1.0
256,LP001849,6045,0.0,115.0,360.0,0.0
257,LP001854,5250,0.0,94.0,360.0,1.0
258,LP001859,14683,2100.0,304.0,360.0,1.0
261,LP001868,2060,2209.0,134.0,360.0,1.0
262,LP001870,3481,0.0,155.0,36.0,1.0
263,LP001871,7200,0.0,120.0,360.0,1.0
264,LP001872,5166,0.0,128.0,360.0,1.0
265,LP001875,4095,3447.0,151.0,360.0,1.0
266,LP001877,4708,1387.0,150.0,360.0,1.0
267,LP001882,4333,1811.0,160.0,360.0,0.0
269,LP001884,2876,1560.0,90.0,360.0,1.0
270,LP001888,3237,0.0,30.0,360.0,1.0
271,LP001891,11146,0.0,136.0,360.0,1.0
272,LP001892,2833,1857.0,126.0,360.0,1.0
273,LP001894,2620,2223.0,150.0,360.0,1.0
274,LP001896,3900,0.0,90.0,360.0,1.0
275,LP001900,2750,1842.0,115.0,360.0,1.0
276,LP001903,3993,3274.0,207.0,360.0,1.0
277,LP001904,3103,1300.0,80.0,360.0,1.0
278,LP001907,14583,0.0,436.0,360.0,1.0
280,LP001910,4053,2426.0,158.0,360.0,0.0
281,LP001914,3927,800.0,112.0,360.0,1.0
282,LP001915,2301,985.7999877999998,78.0,180.0,1.0
283,LP001917,1811,1666.0,54.0,360.0,1.0
285,LP001924,3158,3053.0,89.0,360.0,1.0
286,LP001925,2600,1717.0,99.0,300.0,1.0
287,LP001926,3704,2000.0,120.0,360.0,1.0
288,LP001931,4124,0.0,115.0,360.0,1.0
289,LP001935,9508,0.0,187.0,360.0,1.0
290,LP001936,3075,2416.0,139.0,360.0,1.0
291,LP001938,4400,0.0,127.0,360.0,0.0
292,LP001940,3153,1560.0,134.0,360.0,1.0
294,LP001947,2383,3334.0,172.0,360.0,1.0
296,LP001953,6875,0.0,200.0,360.0,1.0
297,LP001954,4666,0.0,135.0,360.0,1.0
298,LP001955,5000,2541.0,151.0,480.0,1.0
299,LP001963,2014,2925.0,113.0,360.0,1.0
300,LP001964,1800,2934.0,93.0,360.0,0.0
302,LP001974,5000,0.0,132.0,360.0,1.0
303,LP001977,1625,1803.0,96.0,360.0,1.0
304,LP001978,4000,2500.0,140.0,360.0,1.0
306,LP001993,3762,1666.0,135.0,360.0,1.0
307,LP001994,2400,1863.0,104.0,360.0,0.0
308,LP001996,20233,0.0,480.0,360.0,1.0
310,LP002002,2917,0.0,84.0,360.0,1.0
311,LP002004,2927,2405.0,111.0,360.0,1.0
312,LP002006,2507,0.0,56.0,360.0,1.0
315,LP002031,3399,1640.0,111.0,180.0,1.0
316,LP002035,3717,0.0,120.0,360.0,1.0
319,LP002050,10000,0.0,155.0,360.0,1.0
320,LP002051,2400,2167.0,115.0,360.0,1.0
321,LP002053,4342,189.0,124.0,360.0,1.0
324,LP002065,15000,0.0,300.0,360.0,1.0
325,LP002067,8666,4983.0,376.0,360.0,0.0
326,LP002068,4917,0.0,130.0,360.0,0.0
327,LP002082,5818,2160.0,184.0,360.0,1.0
328,LP002086,4333,2451.0,110.0,360.0,1.0
329,LP002087,2500,0.0,67.0,360.0,1.0
330,LP002097,4384,1793.0,117.0,360.0,1.0
331,LP002098,2935,0.0,98.0,360.0,1.0
337,LP002112,2500,4600.0,176.0,360.0,1.0
339,LP002114,4160,0.0,71.0,360.0,1.0
340,LP002115,2647,1587.0,173.0,360.0,1.0
341,LP002116,2378,0.0,46.0,360.0,1.0
342,LP002119,4554,1229.0,158.0,360.0,1.0
343,LP002126,3173,0.0,74.0,360.0,1.0
345,LP002129,2499,2458.0,160.0,360.0,1.0
347,LP002131,3083,2168.0,126.0,360.0,1.0
349,LP002138,2625,6250.0,187.0,360.0,1.0
350,LP002139,9083,0.0,228.0,360.0,1.0
351,LP002140,8750,4167.0,308.0,360.0,1.0
352,LP002141,2666,2083.0,95.0,360.0,1.0
353,LP002142,5500,0.0,105.0,360.0,0.0
354,LP002143,2423,505.0,130.0,360.0,1.0
356,LP002149,8333,3167.0,165.0,360.0,1.0
357,LP002151,3875,0.0,67.0,360.0,1.0
358,LP002158,3000,1666.0,100.0,480.0,0.0
359,LP002160,5167,3167.0,200.0,360.0,1.0
360,LP002161,4723,0.0,81.0,360.0,1.0
361,LP002170,5000,3667.0,236.0,360.0,1.0
362,LP002175,4750,2333.0,130.0,360.0,1.0
364,LP002180,6822,0.0,141.0,360.0,1.0
365,LP002181,6216,0.0,133.0,360.0,1.0
366,LP002187,2500,0.0,96.0,480.0,1.0
368,LP002190,6325,0.0,175.0,360.0,1.0
369,LP002191,19730,5266.0,570.0,360.0,1.0
370,LP002194,15759,0.0,55.0,360.0,1.0
371,LP002197,5185,0.0,155.0,360.0,1.0
372,LP002201,9323,7873.0,380.0,300.0,1.0
373,LP002205,3062,1987.0,111.0,180.0,0.0
375,LP002211,4817,923.0,120.0,180.0,1.0
376,LP002219,8750,4996.0,130.0,360.0,1.0
378,LP002224,3069,0.0,71.0,480.0,1.0
379,LP002225,5391,0.0,130.0,360.0,1.0
381,LP002229,5941,4232.0,296.0,360.0,1.0
382,LP002231,6000,0.0,156.0,360.0,1.0
383,LP002234,7167,0.0,128.0,360.0,1.0
384,LP002236,4566,0.0,100.0,360.0,1.0
386,LP002239,2346,1600.0,132.0,360.0,1.0
388,LP002244,2333,2417.0,136.0,360.0,1.0
389,LP002250,5488,0.0,125.0,360.0,1.0
390,LP002255,9167,0.0,185.0,360.0,1.0
391,LP002262,9504,0.0,275.0,360.0,1.0
393,LP002265,1993,1625.0,113.0,180.0,1.0
394,LP002266,3100,1400.0,113.0,360.0,1.0
396,LP002277,3180,0.0,71.0,360.0,0.0
397,LP002281,3033,1459.0,95.0,360.0,1.0
398,LP002284,3902,1666.0,109.0,360.0,1.0
399,LP002287,1500,1800.0,103.0,360.0,0.0
400,LP002288,2889,0.0,45.0,180.0,0.0
401,LP002296,2755,0.0,65.0,300.0,1.0
402,LP002297,2500,20000.0,103.0,360.0,1.0
403,LP002300,1963,0.0,53.0,360.0,1.0
404,LP002301,7441,0.0,194.0,360.0,1.0
405,LP002305,4547,0.0,115.0,360.0,1.0
406,LP002308,2167,2400.0,115.0,360.0,1.0
407,LP002314,2213,0.0,66.0,360.0,1.0
408,LP002315,8300,0.0,152.0,300.0,0.0
409,LP002317,81000,0.0,360.0,360.0,0.0
410,LP002318,3867,0.0,62.0,360.0,1.0
412,LP002328,6096,0.0,218.0,360.0,0.0
413,LP002332,2253,2033.0,110.0,360.0,1.0
414,LP002335,2149,3237.0,178.0,360.0,0.0
415,LP002337,2995,0.0,60.0,360.0,1.0
416,LP002341,2600,0.0,160.0,360.0,1.0
417,LP002342,1600,20000.0,239.0,360.0,1.0
418,LP002345,1025,2773.0,112.0,360.0,1.0
419,LP002347,3246,1417.0,138.0,360.0,1.0
420,LP002348,5829,0.0,138.0,360.0,1.0
422,LP002361,1820,1719.0,100.0,360.0,1.0
424,LP002364,14880,0.0,96.0,360.0,1.0
425,LP002366,2666,4300.0,121.0,360.0,1.0
426,LP002367,4606,0.0,81.0,360.0,1.0
427,LP002368,5935,0.0,133.0,360.0,1.0
428,LP002369,2920,16.12000084,87.0,360.0,1.0
429,LP002370,2717,0.0,60.0,180.0,1.0
430,LP002377,8624,0.0,150.0,360.0,1.0
431,LP002379,6500,0.0,105.0,360.0,0.0
433,LP002387,2425,2340.0,143.0,360.0,1.0
434,LP002390,3750,0.0,100.0,360.0,1.0
436,LP002398,1926,1851.0,50.0,360.0,1.0
438,LP002403,10416,0.0,187.0,360.0,0.0
439,LP002407,7142,0.0,138.0,360.0,1.0
440,LP002408,3660,5064.0,187.0,360.0,1.0
441,LP002409,7901,1833.0,180.0,360.0,1.0
442,LP002418,4707,1993.0,148.0,360.0,1.0
443,LP002422,37719,0.0,152.0,360.0,1.0
445,LP002429,3466,1210.0,130.0,360.0,1.0
446,LP002434,4652,0.0,110.0,360.0,1.0
448,LP002443,3340,1710.0,150.0,360.0,0.0
450,LP002446,2309,1255.0,125.0,360.0,0.0
452,LP002448,3948,1733.0,149.0,360.0,0.0
453,LP002449,2483,2466.0,90.0,180.0,0.0
454,LP002453,7085,0.0,84.0,360.0,1.0
455,LP002455,3859,0.0,96.0,360.0,1.0
456,LP002459,4301,0.0,118.0,360.0,1.0
457,LP002467,3708,2569.0,173.0,360.0,1.0
458,LP002472,4354,0.0,136.0,360.0,1.0
459,LP002473,8334,0.0,160.0,360.0,1.0
461,LP002484,7740,0.0,128.0,180.0,1.0
462,LP002487,3015,2188.0,153.0,360.0,1.0
464,LP002493,4166,0.0,98.0,360.0,0.0
465,LP002494,6000,0.0,140.0,360.0,1.0
466,LP002500,2947,1664.0,70.0,180.0,0.0
469,LP002505,4333,2451.0,110.0,360.0,1.0
470,LP002515,3450,2079.0,162.0,360.0,1.0
471,LP002517,2653,1500.0,113.0,180.0,0.0
472,LP002519,4691,0.0,100.0,360.0,1.0
474,LP002524,5532,4648.0,162.0,360.0,1.0
475,LP002527,16525,1014.0,150.0,360.0,1.0
476,LP002529,6700,1750.0,230.0,300.0,1.0
478,LP002531,16667,2250.0,86.0,360.0,1.0
480,LP002534,4350,0.0,154.0,360.0,1.0
481,LP002536,3095,0.0,113.0,360.0,1.0
482,LP002537,2083,3150.0,128.0,360.0,1.0
483,LP002541,10833,0.0,234.0,360.0,1.0
484,LP002543,8333,0.0,246.0,360.0,1.0
485,LP002544,1958,2436.0,131.0,360.0,1.0
486,LP002545,3547,0.0,80.0,360.0,0.0
487,LP002547,18333,0.0,500.0,360.0,1.0
488,LP002555,4583,2083.0,160.0,360.0,1.0
489,LP002556,2435,0.0,75.0,360.0,1.0
492,LP002571,3691,0.0,110.0,360.0,1.0
493,LP002582,17263,0.0,225.0,360.0,1.0
494,LP002585,3597,2157.0,119.0,360.0,0.0
495,LP002586,3326,913.0,105.0,84.0,1.0
496,LP002587,2600,1700.0,107.0,360.0,1.0
498,LP002600,2895,0.0,95.0,360.0,1.0
499,LP002602,6283,4416.0,209.0,360.0,0.0
500,LP002603,645,3683.0,113.0,480.0,1.0
501,LP002606,3159,0.0,100.0,360.0,1.0
502,LP002615,4865,5624.0,208.0,360.0,1.0
504,LP002619,3814,1483.0,124.0,300.0,1.0
505,LP002622,3510,4416.0,243.0,360.0,1.0
508,LP002626,2479,3013.0,188.0,360.0,1.0
509,LP002634,13262,0.0,40.0,360.0,1.0
510,LP002637,3598,1287.0,100.0,360.0,1.0
511,LP002640,6065,2004.0,250.0,360.0,1.0
512,LP002643,3283,2035.0,148.0,360.0,1.0
513,LP002648,2130,6666.0,70.0,180.0,1.0
514,LP002652,5815,3666.0,311.0,360.0,1.0
515,LP002659,3466,3428.0,150.0,360.0,1.0
516,LP002670,2031,1632.0,113.0,480.0,1.0
518,LP002683,4683,1915.0,185.0,360.0,1.0
519,LP002684,3400,0.0,95.0,360.0,1.0
520,LP002689,2192,1742.0,45.0,360.0,1.0
521,LP002690,2500,0.0,55.0,360.0,1.0
522,LP002692,5677,1424.0,100.0,360.0,1.0
523,LP002693,7948,7166.0,480.0,360.0,1.0
525,LP002699,17500,0.0,400.0,360.0,1.0
526,LP002705,3775,0.0,110.0,360.0,1.0
527,LP002706,5285,1430.0,161.0,360.0,0.0
528,LP002714,2679,1302.0,94.0,360.0,1.0
529,LP002716,6783,0.0,130.0,360.0,1.0
531,LP002720,4281,0.0,100.0,360.0,1.0
532,LP002723,3588,0.0,110.0,360.0,0.0
534,LP002731,18165,0.0,125.0,360.0,1.0
536,LP002734,6133,3906.0,324.0,360.0,1.0
537,LP002738,3617,0.0,107.0,360.0,1.0
538,LP002739,2917,536.0,66.0,360.0,1.0
539,LP002740,6417,0.0,157.0,180.0,1.0
540,LP002741,4608,2845.0,140.0,180.0,1.0
541,LP002743,2138,0.0,99.0,360.0,0.0
543,LP002755,2239,2524.0,128.0,360.0,1.0
545,LP002767,2768,1950.0,155.0,360.0,1.0
546,LP002768,3358,0.0,80.0,36.0,1.0
547,LP002772,2526,1783.0,145.0,360.0,1.0
548,LP002776,5000,0.0,103.0,360.0,0.0
549,LP002777,2785,2016.0,110.0,360.0,1.0
552,LP002785,3333,3250.0,158.0,360.0,1.0
553,LP002788,2454,2333.0,181.0,360.0,0.0
554,LP002789,3593,4266.0,132.0,180.0,0.0
555,LP002792,5468,1032.0,26.0,360.0,1.0
557,LP002795,10139,0.0,260.0,360.0,1.0
558,LP002798,3887,2669.0,162.0,360.0,1.0
559,LP002804,4180,2306.0,182.0,360.0,1.0
560,LP002807,3675,242.0,108.0,360.0,1.0
561,LP002813,19484,0.0,600.0,360.0,1.0
562,LP002820,5923,2054.0,211.0,360.0,1.0
563,LP002821,5800,0.0,132.0,360.0,1.0
564,LP002832,8799,0.0,258.0,360.0,0.0
566,LP002836,3333,0.0,70.0,360.0,1.0
567,LP002837,3400,2500.0,123.0,360.0,0.0
568,LP002840,2378,0.0,9.0,360.0,1.0
569,LP002841,3166,2064.0,104.0,360.0,0.0
570,LP002842,3417,1750.0,186.0,360.0,1.0
572,LP002855,16666,0.0,275.0,360.0,1.0
573,LP002862,6125,1625.0,187.0,480.0,1.0
574,LP002863,6406,0.0,150.0,360.0,1.0
575,LP002868,3159,461.0,108.0,84.0,1.0
577,LP002874,3229,2739.0,110.0,360.0,1.0
578,LP002877,1782,2232.0,107.0,360.0,1.0
580,LP002892,6540,0.0,205.0,360.0,1.0
581,LP002893,1836,33837.0,90.0,360.0,1.0
582,LP002894,3166,0.0,36.0,360.0,1.0
584,LP002911,2787,1917.0,146.0,360.0,0.0
585,LP002912,4283,3000.0,172.0,84.0,1.0
586,LP002916,2297,1522.0,104.0,360.0,1.0
587,LP002917,2165,0.0,70.0,360.0,1.0
589,LP002926,2726,0.0,106.0,360.0,0.0
590,LP002928,3000,3416.0,56.0,180.0,1.0
591,LP002931,6000,0.0,205.0,240.0,1.0
593,LP002936,3859,3300.0,142.0,180.0,1.0
594,LP002938,16120,0.0,260.0,360.0,1.0
595,LP002940,3833,0.0,110.0,360.0,1.0
596,LP002941,6383,1000.0,187.0,360.0,1.0
598,LP002945,9963,0.0,180.0,360.0,1.0
599,LP002948,5780,0.0,192.0,360.0,1.0
602,LP002953,5703,0.0,128.0,360.0,1.0
603,LP002958,3676,4301.0,172.0,360.0,1.0
604,LP002959,12000,0.0,496.0,360.0,1.0
606,LP002961,3400,2500.0,173.0,360.0,1.0
607,LP002964,3987,1411.0,157.0,360.0,1.0
608,LP002974,3232,1950.0,108.0,360.0,1.0
609,LP002978,2900,0.0,71.0,360.0,1.0
610,LP002979,4106,0.0,40.0,180.0,1.0
611,LP002983,8072,240.0,253.0,360.0,1.0
612,LP002984,7583,0.0,187.0,360.0,1.0
613,LP002990,4583,0.0,133.0,360.0,0.0
