,Loan_ID,Unnamed: 1,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount,Gender_Female,Gender_Male,Gender_nan,Married_No,Married_Yes,Married_nan,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Dependents_nan,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Self_Employed_nan,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
10,LP001030,,Male,Yes,2,Graduate,No,1299,1086.0,120.0,1.0,Urban,Y,17.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
11,LP001032,,Male,No,0,Graduate,No,4950,0.0,360.0,1.0,Urban,Y,125.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
12,LP001034,,Male,No,1,Not Graduate,No,3596,0.0,240.0,,Urban,Y,100.0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
13,LP001041,,Male,Yes,0,Graduate,,2600,3500.0,,1.0,Urban,Y,115.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
14,LP001046,,Male,Yes,1,Graduate,No,5955,5625.0,360.0,1.0,Urban,Y,315.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
15,LP001066,,Male,Yes,0,Graduate,Yes,9560,0.0,360.0,1.0,Semiurban,Y,191.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
16,LP001068,,Male,Yes,0,Graduate,No,2799,2253.0,360.0,1.0,Semiurban,Y,122.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
17,LP001073,,Male,Yes,2,Not Graduate,No,4226,1040.0,360.0,1.0,Urban,Y,110.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
18,LP001087,,Female,No,2,Graduate,,3750,2083.0,360.0,1.0,Semiurban,Y,120.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
19,LP001098,,Male,Yes,0,Graduate,No,3500,1667.0,360.0,1.0,Semiurban,Y,114.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
20,LP001106,,Male,Yes,0,Graduate,No,2275,2067.0,360.0,1.0,Urban,Y,,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
21,LP001112,,Female,Yes,0,Graduate,No,3667,1459.0,360.0,1.0,Semiurban,Y,144.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
22,LP001114,,Male,No,0,Graduate,No,4166,7210.0,360.0,1.0,Urban,Y,184.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
23,LP001116,,Male,No,0,Not Graduate,No,3748,1668.0,360.0,1.0,Semiurban,Y,110.0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
24,LP001120,,Male,No,0,Graduate,No,1800,1213.0,360.0,1.0,Urban,Y,47.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
25,LP001123,,Male,Yes,0,Graduate,No,2400,0.0,360.0,,Urban,Y,75.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
26,LP001131,,Male,Yes,0,Graduate,No,3941,2336.0,360.0,1.0,Semiurban,Y,134.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
27,LP001136,,Male,Yes,0,Not Graduate,Yes,4695,0.0,,1.0,Urban,Y,96.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
28,LP001137,,Female,No,0,Graduate,No,3410,0.0,,1.0,Urban,Y,88.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
29,LP001138,,Male,Yes,1,Graduate,No,5649,0.0,360.0,1.0,Urban,Y,44.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
30,LP001144,,Male,Yes,0,Graduate,No,5821,0.0,360.0,1.0,Urban,Y,144.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
31,LP001151,,Female,No,0,Graduate,No,4000,2275.0,360.0,1.0,Semiurban,Y,144.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
32,LP001155,,Female,Yes,0,Not Graduate,No,1928,1644.0,360.0,1.0,Semiurban,Y,100.0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
33,LP001157,,Female,No,0,Graduate,No,3086,0.0,360.0,1.0,Semiurban,Y,120.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
34,LP001194,,Male,Yes,2,Graduate,No,2708,1167.0,360.0,1.0,Semiurban,Y,97.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
35,LP001195,,Male,Yes,0,Graduate,No,2132,1591.0,360.0,1.0,Semiurban,Y,96.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
36,LP001198,,Male,Yes,1,Graduate,No,8080,2250.0,360.0,1.0,Urban,Y,180.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
37,LP001199,,Male,Yes,2,Not Graduate,No,3357,2859.0,360.0,1.0,Urban,Y,144.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
38,LP001205,,Male,Yes,0,Graduate,No,2500,3796.0,360.0,1.0,Urban,Y,120.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
39,LP001206,,Male,Yes,3+,Graduate,No,3029,0.0,360.0,1.0,Urban,Y,99.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
40,LP001233,,Male,Yes,1,Graduate,No,10750,0.0,360.0,1.0,Urban,Y,312.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
41,LP001238,,Male,Yes,3+,Not Graduate,Yes,7100,0.0,60.0,1.0,Urban,Y,125.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
42,LP001243,,Male,Yes,0,Graduate,No,3208,3066.0,360.0,1.0,Urban,Y,172.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
43,LP001245,,Male,Yes,2,Not Graduate,Yes,1875,1875.0,360.0,1.0,Semiurban,Y,97.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
44,LP001248,,Male,No,0,Graduate,No,3500,0.0,300.0,1.0,Semiurban,Y,81.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
45,LP001253,,Male,Yes,3+,Graduate,Yes,5266,1774.0,360.0,1.0,Semiurban,Y,187.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
46,LP001264,,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,360.0,,Semiurban,Y,130.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
47,LP001265,,Female,No,0,Graduate,No,3846,0.0,360.0,1.0,Semiurban,Y,111.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
48,LP001266,,Male,Yes,1,Graduate,Yes,2395,0.0,360.0,1.0,Semiurban,Y,,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
49,LP001275,,Male,Yes,1,Graduate,No,3988,0.0,240.0,1.0,Urban,Y,50.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
50,LP001279,,Male,No,0,Graduate,No,2366,2531.0,360.0,1.0,Semiurban,Y,136.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
51,LP001280,,Male,Yes,2,Not Graduate,No,3333,2000.0,360.0,,Semiurban,Y,99.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
52,LP001282,,Male,Yes,0,Graduate,No,2500,2118.0,360.0,1.0,Semiurban,Y,104.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
53,LP001289,,Male,No,0,Graduate,No,8566,0.0,360.0,1.0,Urban,Y,210.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
54,LP001310,,Male,Yes,0,Graduate,No,5695,4167.0,360.0,1.0,Semiurban,Y,175.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
55,LP001316,,Male,Yes,0,Graduate,No,2958,2900.0,360.0,1.0,Semiurban,Y,131.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
56,LP001318,,Male,Yes,2,Graduate,No,6250,5654.0,180.0,1.0,Semiurban,Y,188.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
57,LP001319,,Male,Yes,2,Not Graduate,No,3273,1820.0,360.0,1.0,Urban,Y,81.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
58,LP001322,,Male,No,0,Graduate,No,4133,0.0,360.0,1.0,Semiurban,Y,122.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
59,LP001325,,Male,No,0,Not Graduate,No,3620,0.0,120.0,1.0,Semiurban,Y,25.0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
60,LP001327,,Female,Yes,0,Graduate,No,2484,2302.0,360.0,1.0,Semiurban,Y,137.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
61,LP001333,,Male,Yes,0,Graduate,No,1977,997.0,360.0,1.0,Semiurban,Y,50.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
62,LP001334,,Male,Yes,0,Not Graduate,No,4188,0.0,180.0,1.0,Semiurban,Y,115.0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
63,LP001343,,Male,Yes,0,Graduate,No,1759,3541.0,360.0,1.0,Semiurban,Y,131.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
64,LP001345,,Male,Yes,2,Not Graduate,No,4288,3263.0,180.0,1.0,Urban,Y,133.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
65,LP001349,,Male,No,0,Graduate,No,4843,3806.0,360.0,1.0,Semiurban,Y,151.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
66,LP001350,,Male,Yes,,Graduate,No,13650,0.0,360.0,1.0,Urban,Y,,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
67,LP001356,,Male,Yes,0,Graduate,No,4652,3583.0,360.0,1.0,Semiurban,Y,,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
68,LP001357,,Male,,,Graduate,No,3816,754.0,360.0,1.0,Urban,Y,160.0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
69,LP001367,,Male,Yes,1,Graduate,No,3052,1030.0,360.0,1.0,Urban,Y,100.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
70,LP001369,,Male,Yes,2,Graduate,No,11417,1126.0,360.0,1.0,Urban,Y,225.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
71,LP001384,,Male,Yes,3+,Not Graduate,No,2071,754.0,480.0,1.0,Semiurban,Y,94.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
72,LP001385,,Male,No,0,Graduate,No,5316,0.0,360.0,1.0,Urban,Y,136.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
73,LP001387,,Female,Yes,0,Graduate,,2929,2333.0,360.0,1.0,Semiurban,Y,139.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
74,LP001392,,Female,No,1,Graduate,Yes,7451,0.0,360.0,1.0,Semiurban,Y,,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
75,LP001398,,Male,No,0,Graduate,,5050,0.0,360.0,1.0,Semiurban,Y,118.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
76,LP001401,,Male,Yes,1,Graduate,No,14583,0.0,180.0,1.0,Rural,Y,185.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
77,LP001404,,Female,Yes,0,Graduate,No,3167,2283.0,360.0,1.0,Semiurban,Y,154.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
78,LP001405,,Male,Yes,1,Graduate,No,2214,1398.0,360.0,,Urban,Y,85.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
79,LP001422,,Female,No,0,Graduate,No,10408,0.0,360.0,1.0,Urban,Y,259.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
80,LP001426,,Male,Yes,,Graduate,No,5667,2667.0,360.0,1.0,Rural,Y,180.0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
81,LP001430,,Female,No,0,Graduate,No,4166,0.0,360.0,1.0,Semiurban,Y,44.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
82,LP001431,,Female,No,0,Graduate,No,2137,8980.0,360.0,0.0,Semiurban,Y,137.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
83,LP001432,,Male,Yes,2,Graduate,No,2957,0.0,360.0,1.0,Semiurban,Y,81.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
84,LP001439,,Male,Yes,0,Not Graduate,No,4300,2014.0,360.0,1.0,Rural,Y,194.0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
85,LP001443,,Female,No,0,Graduate,No,3692,0.0,360.0,,Rural,Y,93.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
86,LP001448,,,Yes,3+,Graduate,No,23803,0.0,360.0,1.0,Rural,Y,370.0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
87,LP001449,,Male,No,0,Graduate,No,3865,1640.0,360.0,1.0,Rural,Y,,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
88,LP001469,,Male,No,0,Graduate,Yes,20166,0.0,480.0,,Urban,Y,650.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
89,LP001473,,Male,No,0,Graduate,No,2014,1929.0,360.0,1.0,Urban,Y,74.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
90,LP001478,,Male,No,0,Graduate,No,2718,0.0,360.0,1.0,Semiurban,Y,70.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
91,LP001482,,Male,Yes,0,Graduate,Yes,3459,0.0,120.0,1.0,Semiurban,Y,25.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
92,LP001487,,Male,No,0,Graduate,No,4895,0.0,360.0,1.0,Semiurban,Y,102.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
93,LP001491,,Male,Yes,2,Graduate,Yes,3316,3500.0,360.0,1.0,Urban,Y,88.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
94,LP001498,,Male,No,0,Graduate,No,5417,0.0,360.0,1.0,Urban,Y,168.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
95,LP001504,,Male,No,0,Graduate,Yes,6950,0.0,180.0,1.0,Semiurban,Y,175.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
96,LP001507,,Male,Yes,0,Graduate,No,2698,2034.0,360.0,1.0,Semiurban,Y,122.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
97,LP001508,,Male,Yes,2,Graduate,No,11757,0.0,180.0,1.0,Urban,Y,187.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
98,LP001514,,Female,Yes,0,Graduate,No,2330,4486.0,360.0,1.0,Semiurban,Y,100.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
99,LP001516,,Female,Yes,2,Graduate,No,14866,0.0,360.0,1.0,Urban,Y,70.0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
100,LP001518,,Male,Yes,1,Graduate,No,1538,1425.0,360.0,1.0,Urban,Y,30.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
101,LP001520,,Male,Yes,0,Graduate,No,4860,830.0,360.0,1.0,Semiurban,Y,125.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
102,LP001529,,Male,Yes,0,Graduate,Yes,2577,3750.0,360.0,1.0,Rural,Y,152.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
103,LP001535,,Male,No,0,Graduate,No,3254,0.0,360.0,1.0,Urban,Y,50.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
104,LP001536,,Male,Yes,3+,Graduate,No,39999,0.0,180.0,0.0,Semiurban,Y,600.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
105,LP001541,,Male,Yes,1,Graduate,No,6000,0.0,360.0,,Rural,Y,160.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
106,LP001543,,Male,Yes,1,Graduate,No,9538,0.0,360.0,1.0,Urban,Y,187.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
107,LP001546,,Male,No,0,Graduate,,2980,2083.0,360.0,1.0,Rural,Y,120.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
108,LP001552,,Male,Yes,0,Graduate,No,4583,5625.0,360.0,1.0,Semiurban,Y,255.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
109,LP001560,,Male,Yes,0,Not Graduate,No,1863,1041.0,360.0,1.0,Semiurban,Y,98.0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
110,LP001570,,Male,Yes,2,Graduate,No,4167,1447.0,360.0,1.0,Rural,Y,158.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
111,LP001572,,Male,Yes,0,Graduate,No,9323,0.0,180.0,1.0,Urban,Y,75.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
112,LP001574,,Male,Yes,0,Graduate,No,3707,3166.0,,1.0,Rural,Y,182.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
113,LP001578,,Male,Yes,0,Graduate,No,2439,3333.0,360.0,1.0,Rural,Y,129.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
114,LP001580,,Male,Yes,2,Graduate,No,8000,0.0,360.0,1.0,Semiurban,Y,200.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
115,LP001581,,Male,Yes,0,Not Graduate,,1820,1769.0,360.0,1.0,Rural,Y,95.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
116,LP001585,,,Yes,3+,Graduate,No,51763,0.0,300.0,1.0,Urban,Y,700.0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
117,LP001594,,Male,Yes,0,Graduate,No,5708,5625.0,360.0,1.0,Semiurban,Y,187.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
118,LP001606,,Male,Yes,0,Graduate,No,3497,1964.0,360.0,1.0,Rural,Y,116.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
119,LP001608,,Male,Yes,2,Graduate,No,2045,1619.0,360.0,1.0,Rural,Y,101.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
120,LP001616,,Male,Yes,1,Graduate,No,3750,0.0,360.0,1.0,Semiurban,Y,116.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
121,LP001636,,Male,Yes,0,Graduate,No,4600,0.0,180.0,1.0,Semiurban,Y,73.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
122,LP001639,,Female,Yes,0,Graduate,No,3625,0.0,360.0,1.0,Semiurban,Y,108.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
123,LP001640,,Male,Yes,0,Graduate,Yes,39147,4750.0,360.0,1.0,Semiurban,Y,120.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
124,LP001643,,Male,Yes,0,Graduate,No,2383,2138.0,360.0,,Rural,Y,58.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
125,LP001644,,,Yes,0,Graduate,Yes,674,5296.0,360.0,1.0,Rural,Y,168.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
126,LP001647,,Male,Yes,0,Graduate,No,9328,0.0,180.0,1.0,Rural,Y,188.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
127,LP001653,,Male,No,0,Not Graduate,No,4885,0.0,360.0,1.0,Rural,Y,48.0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
128,LP001658,,Male,No,0,Graduate,No,3858,0.0,360.0,1.0,Semiurban,Y,76.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
129,LP001664,,Male,No,0,Graduate,No,4191,0.0,360.0,1.0,Rural,Y,120.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
130,LP001666,,Male,No,0,Graduate,No,8333,3750.0,360.0,1.0,Rural,Y,187.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
131,LP001669,,Female,No,0,Not Graduate,No,1907,2365.0,,1.0,Urban,Y,120.0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
132,LP001671,,Female,Yes,0,Graduate,No,3416,2816.0,360.0,,Semiurban,Y,113.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
133,LP001674,,Male,Yes,1,Not Graduate,No,2600,2500.0,360.0,1.0,Semiurban,Y,90.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
134,LP001677,,Male,No,2,Graduate,No,4923,0.0,360.0,0.0,Semiurban,Y,166.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
135,LP001688,,Male,Yes,1,Not Graduate,No,3500,1083.0,360.0,1.0,Urban,Y,135.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
136,LP001691,,Male,Yes,2,Not Graduate,No,3917,0.0,360.0,1.0,Semiurban,Y,124.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
137,LP001692,,Female,No,0,Not Graduate,No,4408,0.0,360.0,1.0,Semiurban,Y,120.0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
138,LP001693,,Female,No,0,Graduate,No,3244,0.0,360.0,1.0,Urban,Y,80.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
139,LP001698,,Male,No,0,Not Graduate,No,3975,2531.0,360.0,1.0,Rural,Y,55.0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
140,LP001699,,Male,No,0,Graduate,No,2479,0.0,360.0,1.0,Urban,Y,59.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
141,LP001713,,Male,Yes,1,Graduate,Yes,7787,0.0,360.0,1.0,Urban,Y,240.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
142,LP001715,,Male,Yes,3+,Not Graduate,Yes,5703,0.0,360.0,1.0,Rural,Y,130.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
143,LP001716,,Male,Yes,0,Graduate,No,3173,3021.0,360.0,1.0,Urban,Y,137.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
144,LP001720,,Male,Yes,3+,Not Graduate,No,3850,983.0,360.0,1.0,Semiurban,Y,100.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
145,LP001726,,Male,Yes,0,Graduate,No,3727,1775.0,360.0,1.0,Semiurban,Y,131.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
146,LP001734,,Female,Yes,2,Graduate,No,4283,2383.0,360.0,,Semiurban,Y,127.0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
147,LP001743,,Male,Yes,2,Graduate,No,4009,1717.0,360.0,1.0,Semiurban,Y,116.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
148,LP001744,,Male,No,0,Graduate,No,2971,2791.0,360.0,1.0,Semiurban,Y,144.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
149,LP001749,,Male,Yes,0,Graduate,No,7578,1010.0,,1.0,Semiurban,Y,175.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
150,LP001750,,Male,Yes,0,Graduate,No,6250,0.0,360.0,1.0,Semiurban,Y,128.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
